Applicant,LocationDescription,Address,Latitude,Longitude
Natan's Catering,MISSOURI ST: 20TH ST to SIERRA ST (500 - 630),555 MISSOURI ST,37.7593037663834,-122.395902231236
Pipo's Grill,FOLSOM ST: 14TH ST to 15TH ST (1800 - 1899),1800 FOLSOM ST,37.7678524427181,-122.416104892532
Bach Catering,INDUSTRIAL ST: PALOU AVE to QUESADA AVE (51 - 99) -- SOUTH --,75 INDUSTRIAL ST,37.7392165862623,-122.400864373304
Sun Rise Catering,RUSS ST: HOWARD ST to FOLSOM ST (100 - 199),150 RUSS ST,37.7780755347517,-122.407711134267
Sun Rise Catering,FOLSOM ST: RAUSCH ST to RODGERS ST (1148 - 1175),1150 FOLSOM ST,37.775950411261,-122.409294222069
Julie's Hot Dogs,MISSION ST: 22ND ST to 23RD ST (2600 - 2699),2601 MISSION ST,37.7550675419403,-122.41802613269
La Falafel,VALENCIA ST: ROSA PARKS LN to 15TH ST (338 - 399),363 VALENCIA ST,37.767126464778,-122.421782736139
Taza Halal Cart,MARKET ST: 01ST ST \ BUSH ST to 02ND ST (501 - 599) -- SOUTH --,555 MARKET ST,37.7898898782098,-122.399930411351
Tacos El Primo,WILLIAMS AVE: APOLLO ST to PHELPS ST \ VESTA ST (300 - 399),345 WILLIAMS AVE,37.7298054805741,-122.399247104724
Cheese Gone Wild,SANSOME ST: PINE ST to CALIFORNIA ST (200 - 299),233 SANSOME ST,37.792609401119,-122.401314905451
Bach Catering,SAN BRUNO AVE: HALE ST to SILVER AVE (2362 - 2399),2380 SAN BRUNO AVE,37.7325564744198,-122.40585465611
Mora Taco Truck,MARIPOSA ST: TENNESSEE ST to 04TH ST \ MINNESOTA ST (600 - 699),660 MARIPOSA ST,37.7659084792055,-122.390143076585
Natan's Catering,ILLINOIS ST: MARIPOSA ST \ TERRY A FRANCOIS BLVD to 18TH ST (600 - 699),Assessors Block 3941/Lot001,37.764741322675,-122.387124812179
Natan's Catering,ILLINOIS ST: 25TH ST to END (1500 - 1599),Assessors Block 4296/Lot010,37.7524049924783,-122.387000196298
Natan's Catering,,Assessors Block 4103/Lot023A,37.7583033956425,-122.393514054817
The Whole Cart,CALIFORNIA ST: DAVIS ST to FRONT ST (100 - 199),101 CALIFORNIA ST,37.7929489528347,-122.398098613167
Sinthya's Hot Dogs,MISSION ST: 22ND ST to 23RD ST (2600 - 2699),2664 MISSION ST,37.7543023858576,-122.419000119489
"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",POST ST: STOCKTON ST to POWELL ST (300 - 399),345 STOCKTON ST,37.7889101495704,-122.407196034122
Natan's Catering,KANSAS ST: 16TH ST to 17TH ST (300 - 399),350 KANSAS ST,37.7653706693171,-122.403907848212
Cheese Gone Wild,HOWARD ST: 01ST ST to MALDEN ALY (500 - 589),555 HOWARD ST,37.78737884181,-122.396874967163
Tacos Esmeralda,EVANS AVE: RANKIN ST to SELBY ST (1800 - 1890),1800 EVANS AVE,37.7457492406203,-122.392481487678
Sun Rise Catering,NATOMA ST: RUSS ST to 07TH ST (547 - 599),560 NATOMA ST,37.7792067880556,-122.409199456423
"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",MARKET ST: 04TH ST \ ELLIS ST \ STOCKTON ST to POWELL ST (800 - 890) -- NORTH --,870 MARKET ST,37.7851109204478,-122.407422668277
Gour Chaat,MARKET ST: 01ST ST \ BUSH ST to 02ND ST (501 - 599) -- SOUTH --,555 MARKET ST,37.7898898782098,-122.399930411351
Bach Catering,EGBERT AVE: NEWHALL ST to PHELPS ST (1800 - 1899),1828 EGBERT AVE,37.7275936019207,-122.400117226063
Afghani Rice,EDDY ST: POWELL ST to CYRIL MAGNIN ST (1 - 49),1 POWELL ST,37.7846933678258,-122.40813248678
Bob Johnson,,Assessors Block 0733/Lot010,37.782143532929,-122.430449785949
Smokin Warehouse Barbecue,BATTERY ST: UNION ST to FILBERT ST (1100 - 1199),1155 BATTERY ST,37.8017914435056,-122.402308963297
The Creme Brulee Cart,MARKET ST: 01ST ST \ BUSH ST to BATTERY ST (500 - 538) -- NORTH --,532 MARKET ST,37.7905483181832,-122.400333673679
Natan's Catering,,Assessors Block 8722/Lot001,37.7679955456856,-122.387549426547
Natan's Catering,16TH ST: 04TH ST to OWENS ST (600 - 699),600 16TH ST,37.7674662871448,-122.390860289431
Sun Rise Catering,FOLSOM ST: ESSEX ST to 02ND ST (529 - 599),532 FOLSOM ST,37.7868183030362,-122.395660566066
"Del Popolo, LLC.",MARIPOSA ST: BRYANT ST to FLORIDA ST (2700 - 2799),2772 MARIPOSA ST,37.763292918729,-122.41074477293
Natan's Catering,MISSION BAY BLVD SOUTH: 03RD ST \ MISSION BAY BLVD to 04TH ST \ MISSION BAY BLVD (501 - 599),Assessors Block 8732/Lot001,37.7707029760975,-122.390790355566
Sinthya's Hot Dogs,06TH ST: FOLSOM ST to SHIPLEY ST (300 - 330),301 06TH ST,37.7784418992113,-122.405086420952
Natan's Catering,MARIN ST: END to MICHIGAN ST (800 - 899),888 MARIN ST,37.749458329027,-122.385081339678
Sun Rise Catering,08TH ST: BRANNAN ST to TOWNSEND ST (600 - 699),699 08TH ST,37.7710219992437,-122.403546254184
Cheese Gone Wild,DAVIS ST: DAVIS CT \ JACKSON ST to BROADWAY (500 - 699),,37.7982529941715,-122.399171569524
Natan's Catering,MENDELL ST: CARGO WAY to NEWHALL ST (1 - 199),151 MENDELL ST,37.7428202346759,-122.382847355518
Natan's Catering,03RD ST: MARIN ST to ARTHUR AVE \ CARGO WAY (3201 - 3399) -- EAST --,3201 03RD ST,37.7484453388377,-122.38687903198
Bach Catering,BANCROFT AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1455 BANCROFT AVE,37.723728538541,-122.390326357762
Natan's Catering,25TH ST: MARYLAND ST to MICHIGAN ST (400 - 699),Assessors Block 4241/Lot002,37.7533400011811,-122.384128384237
"The Sandwich Stand, LLC.",MAIN ST: MARKET ST to MISSION ST (1 - 99),50 MAIN ST,37.792363514411,-122.396434007976
Teresa Hotdogs,18TH ST: CASTRO ST to COLLINGWOOD ST (4100 - 4199),4111 18TH ST,37.7606817687521,-122.435257895808
Ziaurehman Amini,MARKET ST: DRUMM ST intersection,5 THE EMBARCADERO,37.7943310032468,-122.395811053023
Tacos Esmeralda,EVANS AVE: QUINT ST to RANKIN ST (1700 - 1799),1700 EVANS AVE,37.744889286143,-122.390971976935
